address_id,address,district,city_id,postal_code,phone
1,47 MySakila Drive,Alberta,300,13994,(299) 865-2360
2,28 MySQL Boulevard,QLD,576,83402,(840)245-1048
3,23 Workhaven Lane,Alberta,300,53012,(403) 333-5568
4,1411 Lillydale Drive,QLD,576,49321,(617) 223-5589
5,1913 Hanoi Way,Nagasaki,463,35200,(830) 338-4290
6,1121 Loja Avenue,California,449,17886,(363) 528-6649
7,692 Joliet Street,Attika,38,83579,(447) 719-0408
8,1566 Inegl Manor,Mandalay,349,53561,(781) 400-3527
9,53 Idfu Parkway,Nantou,361,42399,(165) 564-8674
10,1795 Santiago de Compostela Way,Texas,295,18743,(845) 262-6434
11,900 Santiago de Compostela Parkway,Central Serbia,280,93896,(757) 122-0373
12,478 Joliet Way,Hamilton,200,77948,(628) 228-5970
13,613 Korolev Drive,Masqat,329,45844,(365) 752-2649
14,1531 Sal Drive,Esfahan,162,53628,(645) 693-6185
15,1542 Tarlac Parkway,Kanagawa,440,10275,(629) 727-7345
16,808 Bhopal Manor,Haryana,582,10672,(488) 780-7014
17,270 Amroha Parkway,Osmaniye,384,29610,(647) 968-7538
18,770 Bydgoszcz Avenue,California,120,16266,(533) 831-4235
19,419 Iligan Lane,Madhya Pradesh,76,72878,(991) 110-7354
20,360 Toulouse Parkway,England,495,54308,(931) 233-3307
21,270 Toulon Boulevard,Kalmykia,156,81766,(475) 241-4682
22,320 Brest Avenue,Kaduna,252,43331,(779) 159-4069
23,1417 Lancaster Avenue,Northern Cape,267,72192,(257) 235-7893
24,1688 Okara Way,Nothwest Border Prov,327,21954,(145) 386-9132
25,262 A Corua (La Corua) Parkway,Dhaka,525,34418,(897) 575-0063
26,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,443,37551,(166) 837-4323
27,1780 Hino Boulevard,Liepaja,303,77161,(903) 122-9323
28,96 Tafuna Way,Crdoba,128,99865,(933) 018-7245
29,934 San Felipe de Puerto Plata Street,Sind,472,99780,(199) 594-5706
30,18 Duisburg Boulevard,,121,58327,(990) 977-7982
31,217 Botshabelo Place,Southern Mindanao,138,49521,(665) 657-2025
32,1425 Shikarpur Manor,Bihar,346,65599,(672) 086-7005
33,786 Aurora Avenue,Yamaguchi,474,65750,(184) 686-0151
34,1668 Anpolis Street,Taipei,316,50199,(525) 554-0978
35,33 Gorontalo Way,West Bengali,257,30348,(745) 494-7458
36,176 Mandaluyong Place,Uttar Pradesh,239,65213,(627) 599-1774
37,127 Purnea (Purnia) Manor,Piemonte,17,79388,(911) 222-0378
38,61 Tama Street,Okayama,284,94065,(708) 333-8270
39,391 Callao Drive,Midi-Pyrnes,544,34021,(440) 215-3169
40,334 Munger (Monghyr) Lane,Markazi,31,38145,(488) 327-3622
41,1440 Fukuyama Loop,Henan,362,47929,(915) 725-0465
42,269 Cam Ranh Parkway,Chisinau,115,34689,(488) 382-9737
43,306 Antofagasta Place,Esprito Santo,569,39890,(371) 885-1631
44,671 Graz Street,Oriental,353,94399,(686) 886-8518
45,42 Brindisi Place,Yerevan,586,16744,(423) 472-1397
46,1632 Bislig Avenue,Nonthaburi,394,61117,(477) 584-0679
47,1447 Imus Way,Tahiti,167,48942,(535) 831-3890
48,1998 Halifax Drive,Lipetsk,308,76022,(172) 772-2820
49,1718 Valencia Street,Antofagasta,27,37359,(529) 281-6413
50,46 Pjatigorsk Lane,Moscow (City),343,23616,(267) 699-4845
51,686 Garland Manor,Cear,247,52535,(694) 337-8813
52,909 Garland Manor,Tatarstan,367,69367,(705) 032-2606
53,725 Isesaki Place,Mekka,237,74428,(879) 532-3994
54,115 Hidalgo Parkway,Khartum,379,80168,(300) 395-0263
55,1135 Izumisano Parkway,California,171,48150,(172) 253-3480
